iter	Logloss
0	0.4106525858
1	0.3143744291
2	0.2687646516
3	0.2346425267
4	0.2192198875
5	0.2064939673
6	0.195853719
7	0.1908287647
8	0.1863916101
9	0.1812088217
10	0.1784052688
11	0.1758187724
12	0.1717885928
13	0.1693686522
14	0.1674514023
15	0.163400987
16	0.1620301665
17	0.1606438471
18	0.1594909534
19	0.1585131494
20	0.1575487735
21	0.1567686124
22	0.1551277941
23	0.1543186185
24	0.1535497604
25	0.152863494
26	0.1523871372
27	0.1516604686
28	0.1509528222
29	0.1503726384
30	0.1500334432
31	0.1495519691
32	0.1489744763
33	0.1485469574
34	0.1477364179
35	0.1472940003
36	0.1467287643
37	0.1461480192
38	0.1458059686
39	0.1453723132
40	0.1452057156
41	0.1448231202
42	0.1446330282
43	0.1443557443
44	0.1439789658
45	0.1437416984
46	0.1434858551
47	0.1433099273
48	0.1429396094
49	0.142719252
50	0.1426030999
51	0.1424298628
52	0.1422331256
53	0.1419474244
54	0.1416912424
55	0.1415398442
56	0.1413331946
57	0.1412275958
58	0.1408524986
59	0.1403575784
60	0.1402822466
61	0.1401386818
62	0.139913784
63	0.1397122362
64	0.1396580098
65	0.1393547726
66	0.139289402
67	0.1391938008
68	0.138997825
69	0.1387643993
70	0.1386069547
71	0.1384386337
72	0.1384385821
73	0.1384384804
74	0.1382708928
75	0.138112897
76	0.1380649483
77	0.1379241322
78	0.1377261657
79	0.1375975602
80	0.1375215393
81	0.1374618994
82	0.1373767917
83	0.1371741204
84	0.1371739371
85	0.1370572558
86	0.1368618675
87	0.1367302996
88	0.1366229442
89	0.1365495965
90	0.1362899107
91	0.1361580441
92	0.136157988
93	0.1360831261
94	0.1359550392
95	0.1357687688
96	0.1357687343
97	0.1357682395
98	0.1357681059
99	0.1357043362
100	0.1357042166
101	0.1356258145
102	0.1354914563
103	0.135436108
104	0.1353847912
105	0.1353022402
106	0.1353022394
107	0.1351902208
108	0.1351560296
109	0.1351489303
110	0.1350742518
111	0.1349996532
112	0.1348363966
113	0.1347857881
114	0.1346909284
115	0.134664174
116	0.1346641728
117	0.1345790485
118	0.134526097
119	0.1345052389
120	0.1344589302
121	0.1344251976
122	0.1344251612
123	0.1343758726
124	0.1343722174
125	0.1342746473
126	0.1342626131
127	0.1342526063
128	0.1342524005
129	0.1341582166
130	0.1340952485
131	0.1339897236
132	0.1339896769
133	0.1339408198
