iter	Passed	Remaining
0	81	10836
1	155	10269
2	229	10040
3	307	10001
4	379	9786
5	471	10049
6	543	9853
7	614	9682
8	682	9481
9	761	9446
10	841	9405
11	911	9267
12	984	9160
13	1061	9097
14	1130	8972
15	1214	8953
16	1292	8896
17	1366	8805
18	1439	8713
19	1511	8616
20	1587	8544
21	1654	8424
22	1737	8384
23	1809	8293
24	1886	8223
25	1962	8151
26	2033	8057
27	2103	7961
28	2186	7917
29	2260	7837
30	2329	7741
31	2401	7654
32	2474	7574
33	2547	7491
34	2612	7390
35	2689	7322
36	2758	7232
37	2840	7176
38	2913	7097
39	2984	7014
40	3051	6921
41	3127	6849
42	3202	6777
43	3275	6699
44	3350	6627
45	3427	6557
46	3500	6479
47	3568	6393
48	3641	6316
49	3714	6240
50	3781	6154
51	3850	6072
52	3924	5998
53	4000	5926
54	4072	5849
55	4140	5767
56	4212	5690
57	4276	5604
58	4356	5537
59	4424	5456
60	4496	5381
61	4571	5308
62	4644	5234
63	4718	5161
64	4782	5077
65	4857	5005
66	4927	4927
67	4996	4849
68	5065	4772
69	5140	4700
70	5242	4651
71	5314	4576
72	5359	4478
73	5416	4391
74	5483	4313
75	5555	4239
76	5689	4211
77	5777	4147
78	5859	4079
79	5933	4005
80	5997	3924
81	6060	3842
82	6130	3766
83	6213	3698
84	6268	3613
85	6339	3538
86	6412	3464
87	6495	3395
88	6568	3321
89	6634	3243
90	6709	3170
91	6789	3099
92	6845	3017
93	6916	2943
94	6992	2870
95	7061	2795
96	7106	2710
97	7165	2632
98	7218	2551
99	7282	2476
100	7335	2396
101	7412	2325
102	7479	2251
103	7546	2176
104	7607	2101
105	7682	2029
106	7715	1946
107	7784	1873
108	7849	1800
109	7909	1725
110	7982	1654
111	8052	1581
112	8130	1510
113	8184	1435
114	8253	1363
115	8308	1289
116	8341	1212
117	8416	1141
118	8487	1069
119	8548	997
120	8617	925
121	8687	854
122	8734	781
123	8810	710
124	8868	638
125	8942	567
126	9002	496
127	9064	424
128	9125	353
129	9196	282
130	9268	212
131	9347	141
132	9399	70
133	9464	0
